dataset,model,strategy,calib,AUC,Brier,LogLoss,ECE
maven,LogReg,natural,none,0.9043,0.1097,0.349,0.0309
maven,LogReg,natural,platt,0.9043,0.1099,0.3541,0.032
maven,LogReg,natural,isotonic,0.9034,0.1123,0.3579,0.0398
maven,LogReg,classweight,none,0.9039,0.1287,0.3937,0.0999
maven,LogReg,classweight,platt,0.9039,0.1104,0.355,0.0443
maven,LogReg,classweight,isotonic,0.9022,0.1119,0.359,0.0377
maven,LogReg,smote,none,0.9034,0.1267,0.3894,0.0896
maven,LogReg,smote,platt,0.9034,0.1105,0.3555,0.0401
maven,LogReg,smote,isotonic,0.9011,0.1118,0.3657,0.0393
maven,RF,natural,none,0.919,0.0988,0.3148,0.0232
maven,RF,natural,platt,0.919,0.0986,0.3127,0.0222
maven,RF,natural,isotonic,0.9169,0.1016,0.3534,0.0377
maven,RF,classweight,none,0.9198,0.0992,0.3154,0.026
maven,RF,classweight,platt,0.9198,0.099,0.3136,0.0259
maven,RF,classweight,isotonic,0.9199,0.1012,0.3415,0.0355
maven,RF,smote,none,0.9164,0.1004,0.3225,0.0354
maven,RF,smote,platt,0.9164,0.0999,0.3204,0.0233
maven,RF,smote,isotonic,0.915,0.1035,0.3499,0.0397
maven,XGB,natural,none,0.9251,0.0955,0.3085,0.0346
maven,XGB,natural,platt,0.9251,0.0942,0.2995,0.0218
maven,XGB,natural,isotonic,0.9225,0.0945,0.3202,0.0228
maven,XGB,classweight,none,0.9235,0.1017,0.3239,0.0535
maven,XGB,classweight,platt,0.9235,0.0952,0.3037,0.0289
maven,XGB,classweight,isotonic,0.9214,0.0964,0.3279,0.0181
maven,XGB,smote,none,0.9244,0.0948,0.3092,0.0381
maven,XGB,smote,platt,0.9244,0.0935,0.3001,0.0282
maven,XGB,smote,isotonic,0.9229,0.0956,0.3445,0.0355
maven,LGBM,natural,none,0.9252,0.0986,0.3467,0.0575
maven,LGBM,natural,platt,0.9252,0.0943,0.3017,0.0269
maven,LGBM,natural,isotonic,0.9234,0.0943,0.3507,0.0197
maven,LGBM,classweight,none,0.9228,0.1027,0.3523,0.0641
maven,LGBM,classweight,platt,0.9228,0.0952,0.3047,0.0161
maven,LGBM,classweight,isotonic,0.921,0.0963,0.332,0.0171
maven,LGBM,smote,none,0.9222,0.1012,0.35,0.0568
maven,LGBM,smote,platt,0.9222,0.0961,0.3062,0.0219
maven,LGBM,smote,isotonic,0.9199,0.0956,0.3533,0.0188
cell,LogReg,natural,none,0.6248,0.197,0.5807,0.0098
cell,LogReg,natural,platt,0.6248,0.1971,0.581,0.0142
cell,LogReg,natural,isotonic,0.6242,0.197,0.5804,0.0081
cell,LogReg,classweight,none,0.6246,0.2376,0.6682,0.2007
cell,LogReg,classweight,platt,0.6246,0.1972,0.5811,0.0136
cell,LogReg,classweight,isotonic,0.6239,0.1969,0.5803,0.006
cell,LogReg,smote,none,0.6187,0.2381,0.6689,0.1977
cell,LogReg,smote,platt,0.6187,0.1978,0.5827,0.0134
cell,LogReg,smote,isotonic,0.6177,0.1977,0.5825,0.009
cell,RF,natural,none,0.6742,0.1895,0.5617,0.0239
cell,RF,natural,platt,0.6742,0.1894,0.5613,0.0154
cell,RF,natural,isotonic,0.6726,0.1895,0.5693,0.0129
cell,RF,classweight,none,0.6729,0.1899,0.5625,0.019
cell,RF,classweight,platt,0.6729,0.1896,0.5617,0.0137
cell,RF,classweight,isotonic,0.671,0.1903,0.5711,0.0091
cell,RF,smote,none,0.6605,0.1924,0.5686,0.0285
cell,RF,smote,platt,0.6605,0.1917,0.5666,0.0122
cell,RF,smote,isotonic,0.6592,0.1919,0.5694,0.0125
cell,XGB,natural,none,0.6846,0.1868,0.5552,0.0083
cell,XGB,natural,platt,0.6846,0.1869,0.5554,0.0085
cell,XGB,natural,isotonic,0.6835,0.1871,0.556,0.0092
cell,XGB,classweight,none,0.6837,0.2165,0.6213,0.1674
cell,XGB,classweight,platt,0.6837,0.1871,0.5561,0.0148
cell,XGB,classweight,isotonic,0.6816,0.1872,0.5564,0.0114
cell,XGB,smote,none,0.6854,0.1865,0.5544,0.0078
cell,XGB,smote,platt,0.6854,0.1866,0.5546,0.0096
cell,XGB,smote,isotonic,0.6849,0.1867,0.555,0.0116
cell,LGBM,natural,none,0.6788,0.1875,0.557,0.0102
cell,LGBM,natural,platt,0.6788,0.1875,0.5572,0.0075
cell,LGBM,natural,isotonic,0.6773,0.1876,0.5574,0.0078
cell,LGBM,classweight,none,0.6795,0.2149,0.6177,0.1591
cell,LGBM,classweight,platt,0.6795,0.1878,0.5581,0.0115
cell,LGBM,classweight,isotonic,0.6791,0.1878,0.5582,0.0148
cell,LGBM,smote,none,0.6841,0.1865,0.5549,0.0101
cell,LGBM,smote,platt,0.6841,0.1868,0.5555,0.0127
cell,LGBM,smote,isotonic,0.6831,0.1869,0.5558,0.0101
