dataset,model,strategy,AUC,PR_AUC,F1,Recall,Precision,Brier,LogLoss,ECE
maven,LogReg,natural,0.9043,0.7961,0.7075,0.6952,0.7202,0.1097,0.349,0.0309
maven,LogReg,classweight,0.9039,0.7932,0.7318,0.8717,0.6306,0.1287,0.3937,0.0999
maven,LogReg,smote,0.9034,0.7884,0.7175,0.8422,0.625,0.1267,0.3894,0.0896
maven,RF,natural,0.919,0.8471,0.7313,0.6658,0.8111,0.0988,0.3148,0.0232
maven,RF,classweight,0.9198,0.8455,0.723,0.6524,0.8106,0.0992,0.3154,0.026
maven,RF,smote,0.9164,0.8427,0.7471,0.6952,0.8075,0.1004,0.3225,0.0354
maven,XGB,natural,0.9251,0.8621,0.7596,0.7139,0.8116,0.0955,0.3085,0.0346
maven,XGB,classweight,0.9235,0.8587,0.7571,0.7834,0.7325,0.1017,0.3239,0.0535
maven,XGB,smote,0.9244,0.8637,0.7612,0.7246,0.8018,0.0948,0.3092,0.0381
maven,LGBM,natural,0.9252,0.86,0.7566,0.7273,0.7884,0.0986,0.3467,0.0575
maven,LGBM,classweight,0.9228,0.8584,0.7583,0.7674,0.7493,0.1027,0.3523,0.0641
maven,LGBM,smote,0.9222,0.8564,0.7521,0.7219,0.7849,0.1012,0.35,0.0568
cell,LogReg,natural,0.6248,0.394,0.0783,0.0421,0.5463,0.197,0.5807,0.0098
cell,LogReg,classweight,0.6246,0.3934,0.4492,0.5795,0.3667,0.2376,0.6682,0.2007
cell,LogReg,smote,0.6187,0.3899,0.4479,0.5884,0.3616,0.2381,0.6689,0.1977
cell,RF,natural,0.6742,0.4491,0.1215,0.0673,0.6266,0.1895,0.5617,0.0239
cell,RF,classweight,0.6729,0.446,0.0898,0.0483,0.6455,0.1899,0.5625,0.019
cell,RF,smote,0.6605,0.4297,0.1255,0.0704,0.5782,0.1924,0.5686,0.0285
cell,XGB,natural,0.6846,0.4648,0.2351,0.1482,0.5684,0.1868,0.5552,0.0083
cell,XGB,classweight,0.6837,0.4661,0.4965,0.6091,0.419,0.2165,0.6213,0.1674
cell,XGB,smote,0.6854,0.4662,0.2527,0.1604,0.5945,0.1865,0.5544,0.0078
cell,LGBM,natural,0.6788,0.4652,0.2477,0.157,0.5863,0.1875,0.557,0.0102
cell,LGBM,classweight,0.6795,0.4644,0.4865,0.5829,0.4174,0.2149,0.6177,0.1591
cell,LGBM,smote,0.6841,0.47,0.2545,0.1615,0.6005,0.1865,0.5549,0.0101
