param,value,dataset,our_capture_%
ten_max,36.0,maven,64.6
ten_max,48.0,maven,62.9
ten_max,60.0,maven,62.1
margin,0.2,maven,62.5
margin,0.3,maven,62.1
margin,0.4,maven,62.2
offer_delta,0.05,maven,76.1
offer_delta,0.1,maven,62.1
offer_delta,0.2,maven,43.4
contact_cc,1.0,maven,62.3
contact_cc,2.0,maven,62.1
contact_cc,5.0,maven,60.9
gamma,0.4,maven,56.3
gamma,0.5,maven,62.1
gamma,0.6,maven,66.7
ten_max,36.0,cell,42.4
ten_max,48.0,cell,42.1
ten_max,60.0,cell,42.1
margin,0.2,cell,41.0
margin,0.3,cell,42.1
margin,0.4,cell,42.8
offer_delta,0.05,cell,68.3
offer_delta,0.1,cell,42.1
offer_delta,0.2,cell,13.6
contact_cc,1.0,cell,43.6
contact_cc,2.0,cell,42.1
contact_cc,5.0,cell,37.5
gamma,0.4,cell,34.0
gamma,0.5,cell,42.1
gamma,0.6,cell,49.2
